# ornekleri-dogrula.sh sonucu -- 2026-09-07 -- http://localhost:7860
# geçti: 49   kaldı: 62   sunucu: 1
betik	durum	özet
masaustu/src/main/resources/samples/tr/genart-delaunay.kojo	kaldı	2 hata: 24: not found: value fareyeTıklıyınca fareyeTıklıyınca { (x, y) => ^
masaustu/src/main/resources/samples/tr/genart-hypnotic-squares.kojo	kaldı	1 hata: 37: not found: value konum         dez yeri = konum // kaplumbağanın konumu                    ^
masaustu/src/main/resources/samples/tr/genart-joy-division.kojo	geçti	
masaustu/src/main/resources/samples/tr/genart-mondrian.kojo	geçti	
masaustu/src/main/resources/samples/tr/genart-tiled-lines.kojo	geçti	
masaustu/src/main/resources/samples/tr/genart-tri-mesh.kojo	geçti	
masaustu/src/main/resources/samples/tr/hunted-fp.kojo	kaldı	7 hata: 56: not found: value net val cd = new net.kogics.kojo.fpgaming.CollisionDetector()              ^
masaustu/src/main/resources/samples/tr/hunted.kojo	kaldı	4 hata: 79: not found: value yansıtY     yansıtY * döndür(120) * götür(1.5, 0) -> parça7,     ^
masaustu/src/main/resources/samples/tr/image-collage.kojo	geçti	
masaustu/src/main/resources/samples/tr/image-right-split.kojo	geçti	
masaustu/src/main/resources/samples/tr/instruction-palette.kojo	kaldı	1 hata: 48: To compile XML syntax, the scala.xml package must be on the classpath. Please see https://github.com/scala/scala-xml for details.     <div style={ headerSty
masaustu/src/main/resources/samples/tr/kojo-documentation.kojo	kaldı	1 hata: 34: To compile XML syntax, the scala.xml package must be on the classpath. Please see https://github.com/scala/scala-xml for details.   body = <body style={ say
masaustu/src/main/resources/samples/tr/kojo-kilavuz/duvar-tenisi.kojo	geçti	
masaustu/src/main/resources/samples/tr/kojo-kilavuz/duvar-tenisi0.kojo	geçti	
masaustu/src/main/resources/samples/tr/kojo-kilavuz/duvar-tenisi2.kojo	geçti	
masaustu/src/main/resources/samples/tr/kojo-kilavuz/ek-sayfa.kojo	kaldı	30 hata: 29: not found: value Page   dez sayfa = Page(               ^
