# ucurum.py tarama sonucu (tanımlayıcı taraması, derleme değil)
betik	durum	satır	engel	eksik
src/main/resources/samples/tr/kojo-kilavuz/ornek-yazilimlar.kojo	eksik-ad	244		adı birsonrakiGiysi giysiKur giysileriKur konumuDeğiştir tuvaliKaydır
src/main/resources/samples/tr/kojo-kilavuz/renklendirilmis-teker.kojo	çalışır	32		
src/main/resources/samples/tr/kojo-kilavuz/turler.kojo	platform	227	öykü	
src/main/resources/samples/tr/l-systems.kojo	çalışır	115		
src/main/resources/samples/tr/lamp-animation.kojo	eksik-ad	41		doğrusalDeğişim yayÇiz
src/main/resources/samples/tr/lamp-animation2.kojo	platform	37	canlandırma	DörtlüGirdiÇıktı Geçiş YumuşakGeçiş canlandırmaDizisi doğrusalDeğişim sonsuzYinelenme tersten
src/main/resources/samples/tr/lighted-star.kojo	eksik-ad	21		SahneIşığı ışıklar
src/main/resources/samples/tr/lunar-lander.kojo	platform	112	arayüz	ay
src/main/resources/samples/tr/mandelbrot.kojo	eksik-ad	426		VarsılSayı bilgiVer imgeNoktasınıKur paralel İmge
src/main/resources/samples/tr/memory-cards.kojo	eksik-ad	117		çevir
src/main/resources/samples/tr/multiplication-game.kojo	platform	191	arayüz	Sütun Sıra Tanıt TuşUyarlayıcısı TuşaBasmaOlayı Yazıgirdisi arayüz ay boşKenar değeri değişmez girdiDinleyiciEkle girdiOdağıOl olay sakla sütunSayısınıKur tuşHarfi tuşKodu tüket yatayDüzeniKur yazıYüzü yazıyıAl yazıyıKur çerçeveci çerçeveyiKur çizgiKenar önalanıKur
src/main/resources/samples/tr/oyku-tanimlari.kojo	platform	93	öykü	
src/main/resources/samples/tr/penta-pattern.kojo	eksik-ad	20		çevir
src/main/resources/samples/tr/physics-fma.kojo	çalışır	35		
src/main/resources/samples/tr/physics-uvats.kojo	çalışır	52		
src/main/resources/samples/tr/pong.kojo	eksik-ad	144		kym
src/main/resources/samples/tr/prime-factors.kojo	çalışır	39		
src/main/resources/samples/tr/primes.kojo	çalışır	43		
src/main/resources/samples/tr/radiance.kojo	eksik-ad	24		merkezdenDışarıDoğruDeğişim
src/main/resources/samples/tr/random-dots.kojo	çalışır	12		
src/main/resources/samples/tr/rangoli.kojo	çalışır	83		
src/main/resources/samples/tr/read-vector-bargraph.kojo	platform	25	dosya	
src/main/resources/samples/tr/read-vector-mean.kojo	platform	19	dosya	
src/main/resources/samples/tr/scala-tutorial.kojo	platform	1838	yükle,öykü	adı ay değeri for gün hepsi içinde olay olmaz rb sınıfı tr zaman üzerinde İngilizce
src/main/resources/samples/tr/shapes-cols.kojo	çalışır	25		
src/main/resources/samples/tr/sierpinski-tri.kojo	çalışır	42		
src/main/resources/samples/tr/snowflake.kojo	çalışır	64		
src/main/resources/samples/tr/some-notes.kojo	platform	7	ses	
src/main/resources/samples/tr/spiral-effects.kojo	eksik-ad	28		artalan gürültü örgü
src/main/resources/samples/tr/spiral-hexagon-tiles.kojo	çalışır	183		
src/main/resources/samples/tr/spiral-square-tiles.kojo	çalışır	85		
src/main/resources/samples/tr/spiral.kojo	çalışır	15		
src/main/resources/samples/tr/sprite-animation.kojo	eksik-ad	36		birsonrakiGiysi giysiKur giysileriKur giysiyiBüyült konumuDeğiştir
src/main/resources/samples/tr/sprite-boundary-polygon.kojo	eksik-ad	71		çizBaştan
src/main/resources/samples/tr/square-pattern.kojo	eksik-ad	19		çevir
src/main/resources/samples/tr/square.kojo	çalışır	6		
src/main/resources/samples/tr/subtraction-game.kojo	platform	192	arayüz	Sütun Sıra Tanıt TuşUyarlayıcısı TuşaBasmaOlayı Yazıgirdisi arayüz ay boşKenar değeri değişmez girdiDinleyiciEkle girdiOdağıOl olay sakla sütunSayısınıKur tuşHarfi tuşKodu tüket yatayDüzeniKur yazıYüzü yazıyıAl yazıyıKur çerçeveci çerçeveyiKur çizgiKenar önalanıKur
src/main/resources/samples/tr/synchronized-squares.kojo	çalışır	29		
src/main/resources/samples/tr/synchronized-squares2.kojo	çalışır	30		
src/main/resources/samples/tr/tan-theta.kojo	eksik-ad	22		doğrusalDeğişim
src/main/resources/samples/tr/tangram-skier.kojo	eksik-ad	149		silVeÇizimBiriminiKur
src/main/resources/samples/tr/tic-tac-toe.kojo	eksik-ad	270		artalan bilgiVer
